,index,content,type,label
10,50213,"<p>&nbsp;已知：如图，已知$$AB//DC//EF//HG$$，$$BC//DE//GF//HI$$， 求证：$$\angle B=\angle H$$．</p>
<p style=""text-align:right""><img alt="""" data=""https://taltools.speiyou.com"" height=""141"" src=""https://taltools.speiyou.com"" style=""float:right"" width=""178"" /></p>
解析：
<p>∵$$AB//DC$$（已知），</p>
<p>&there4;$$\angle B+\angle C=180{}^\circ $$（两直线平行，同旁内角互补），</p>
<p>∵$$BC//ED$$（已知），</p>
<p>&there4;$$\angle C+\angle D=180{}^\circ $$（两直线平行，同旁内角互补），</p>
<p>&there4;$$\angle B=\angle D$$（等角的补角相等），</p>
<p>∵$$DC//EF$$（已知），</p>
<p>&there4;$$\angle D+\angle E=180{}^\circ $$（两直线平行，同旁内角互补），</p>
<p>∵$$DE//HI$$（已知），</p>
<p>&there4; $$\angle E+\angle F=180{}^\circ $$（两直线平行，同旁内角互补），</p>
<p>&there4;$$\angle D=\angle F$$ （等角的补角相等）</p>
<p>&there4;$$\angle B=\angle F$$（等量代换）．</p>
<p>同理可证得$$\angle F=\angle H$$，</p>
<p>故$$\angle B=\angle H$$（等量代换）．</p>;zk;<p>延长$$HG$$或$$HI$$，利用两次同旁内角互补可证；</p>;zk;<p>联结$$HB$$，利用两次内错角可证．</p>",普通题,平行线的性质
11,35394,"<p>如图：已知$$AB=CD$$，使$$\triangle ABO$$≌$$\triangle CDO$$，还需添加一个条件，你添加的条件是&nbsp;<u>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;</u>&nbsp;．（只需一个，不添加辅助线）</p>
<p style=""text-align: right;""><img alt="""" height=""102"" src=""https://taltools.speiyou.com"" width=""186"" /></p>
解析：
<p>$$\because AB=CD$$，且$$\angle AOB=\angle COD$$，</p>
<p>$$\therefore $$当$$\angle B=\angle D$$或$$\angle A=\angle C$$时，满足$$\text{AAS}$$，可证明$$\triangle ABO$$≌$$\triangle CDO$$．</p>
<p>故答案为：$$\angle A=\angle C\left( \angle B=\angle D \right)$$．</p>",普通题,AAS
12,9727,"<p>求$$a_1+a_2+a_3+a_4+\ldots+a_{100}$$的值．</p>
解析：
<p>原式$$=\frac{1}{3}\times\left(1-\frac{1}{4}+\frac{1}{4}-\frac{1}{7}\cdots+\frac{1}{298}-\frac{1}{301}\right)=\frac{100}{301}$$．</p>",普通题,算式找规律
13,17094,"<p>如图，$$\angle AOB=\angle COD=90{}^\circ $$，若$$\angle BOD=150{}^\circ$$，则$$\angle BOC$$的度数为（ &nbsp; ）．</p>
<p style=""text-align:right""><img alt="""" data=""https://taltools.speiyou.com"" height=""154"" src=""https://taltools.speiyou.com"" width=""181"" /></p>
解析：
<p>∵$$\angle AOB=\angle COD=90{}^\circ $$，</p>
<p>&there4;$$\angle AOD+\angle BOC=360{}^\circ -\angle AOB-\angle COD=180{}^\circ $$，</p>
<p>∵$$\angle BOD=\angle AOB+\angle AOD=150{}^\circ $$，</p>
<p>&there4;$$\angle AOD=\angle BOD-\angle AOB=60{}^\circ $$，</p>
<p>&there4;$$\angle BOC=180{}^\circ -\angle AOD=120{}^\circ $$，</p>
<p>故选$$\text{C}$$．</p>",普通题,角的和差的计算与证明-不需要分类讨论
14,50139,"<p>$$3x+1=4$$．</p>

解析：
<p>$$3x+1=4$$</p>
<p>$$3x+1-1=4-1$$</p>
<p>$$3x=3$$</p>
<p>$$3x\div 3=3\div 3$$</p>
<p>$$x=1$$．</p>
",普通题,常规一元一次方程解法
15,6940,"<p>$$2x\left( x-1 \right)+\left( x-1 \right)\left( x+2 \right)$$．</p>
解析：
<p>$$\quad2x\left( x-1 \right)+\left( x-1 \right)\left( x+2 \right)$$</p>
<p>$$=2{{x}^{2}}-2x+{{x}^{2}}+x-2$$</p>
<p>$$=3{{x}^{2}}-x-2$$．</p>",普通题,多项式乘多项式
16,26990,"<p>求扇形图中表示家长&ldquo;赞成&rdquo;的圆心角的度数．</p>
解析：
<p>$$\frac{40}{400}\times 360{}^\circ =36{}^\circ $$，</p>
<p>答：扇形图中表示家长“赞成”的圆心角的为$$36{}^\circ $$．</p>",普通题,统计综合
17,1913,"<p>在$$（2）$$中的旋转过程中，线段$$OA$$扫过的图形的面积&nbsp;<u>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;</u>&nbsp;．</p>
解析：
<p>由勾股定理，得</p>
<p>$$OA=\sqrt{13}$$，</p>
<p>&there4;线段$$OA$$扫过的图形的面积为：$$\frac{90\times \pi \times 13}{360}=\frac{13\pi }{4}$$．</p>
<p>故答案为：$$\frac{13\pi }{4}$$．</p>",普通题,扇形的面积公式
18,58436,"<p>请你用画树状图或列表的方法，写出点$$M$$所有可能的坐标．</p>
解析：
<p>画树状图得，</p>
<p><img alt="""" data=""https://taltools.speiyou.com"" height=""132"" src=""https://taltools.speiyou.com"" width=""239"" /></p>
<p>则点$$M$$所有可能的坐标为：$$(0,-1)$$，$$(0,-2)$$，$$(0,1)$$，$$(1,-1)$$，$$(1,-2)$$，$$(1,1)$$，$$(2,-1)$$，$$(2,-2)$$，$$(2,1)$$．</p>
<p>求点$$M(x,y)$$落在函数$$ y=- \frac{1}{x}$$ 的图象上的概率．</p>
解析：
<p>∵$$M(x,y)$$在函数$$y=- \frac{1}{x}$$的图象上的有$$(1,-1)$$，</p>
<p>&there4;点$$M(x,y)$$落在函数$$y=- \frac{1}{x}$$的图象上的概率为：$$ \frac{1}{9}$$．</p>",复合题,树形图
19,8672,"<p>平移$$\triangle ABC$$，使点$$C$$与坐标原点$$O$$是对应点，请画出平移后的三角形，并指出$$A$$、$$B$$两点的对应点$${{A}_{1}}$$、$${{B}_{1}}$$的坐标．</p>
解析：
<p>$${{A}_{1}}\left( 1,-3 \right)$$，$${{B}_{1}}\left( 3,1 \right)$$；</p>
<p>如图所示：</p>
<p><img alt="""" data=""https://taltools.speiyou.com"" height=""198"" src=""https://taltools.speiyou.com"" width=""218"" /></p>",普通题,坐标系中的平移-图形的平移
20,37452,"<p>如图，$$A$$、$$B$$、$$C$$、$$D$$是直线$$l$$上顺次四点，$$M$$、$$N$$分别是$$AB$$、$$CD$$的中点，且$$MN=6\text{cm}$$，$$BC=1\text{cm}$$，求$$AD$$的长．</p>
<p><img alt="""" height=""38"" src=""https://taltools.speiyou.com"" style=""float:right"" width=""500"" /></p>
解析：
<p>如图所示，$$AD=AB+BC+CD$$，$$MN=MB+BC+NC$$，</p>
<p>∵$$M$$、$$N$$分别是$$AB$$、$$CD$$的中点，</p>
<p>&there4;$$AB=2MB$$，$$CD=2NC$$，</p>
<p>&there4;$$AB+CD=2MB+2NC=2(MB+NC)=2(MN-BC)$$，</p>
<p>&there4;$$AD=AB+CD+BC=2(MN-BC)+BC$$，即$$AD=2MN-BC$$，</p>
<p>又∵$$MN=6\text{cm}$$，$$BC=1\text{cm}$$，</p>
<p>&there4;$$AD=2MN-BC=2\times 6-1=11\operatorname{cm}$$，$$\therefore AD=11cm$$．</p>",普通题,线段和差-不需要分类讨论
21,28394,"<p style=""text-align:start; text-indent:0px"">将一张长方形纸片按如图所示折叠，如果$$\angle 1=58{}^\circ $$，则$$\angle 2=$$&nbsp;<u>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;</u>&nbsp;$${}^\circ$$．</p>
<p><img alt="""" height=""141"" src=""https://taltools.speiyou.com"" style=""float:right"" width=""223"" /></p>
解析：
<p style=""text-align:start; text-indent:0px"">∵折叠</p>
<p style=""text-align:start; text-indent:0px"">&there4;$$\angle CNF=2\angle 1=2\times 58{}^\circ =116{}^\circ $$</p>
<p style=""text-align:start; text-indent:0px"">∵长方形纸片</p>
<p style=""text-align:start; text-indent:0px"">&there4;$$CD//AB$$，</p>
<p style=""text-align:start; text-indent:0px"">&there4;$$\angle 2+\angle CNF=180{}^\circ $$</p>
<p style=""text-align:start; text-indent:0px"">又∵$$\angle CNF=116{}^\circ $$</p>
<p style=""text-align:start; text-indent:0px"">&there4;$$\angle 2=64{}^\circ $$</p>",普通题,平行线的性质
22,3542,"<p>列方程解应用题</p>
<p>北京世界园艺博览会给人们提供了看山、看水、看风景的机会．一天小安和朋友几家去世园会游玩，他们购买普通票比购买优惠票的数量少$$3$$张，买票共花费了$$1640$$元，符合他们购票的条件如下表，请问他们买了多少张优惠票？</p>
<table border=""1"" cellpadding=""1"" cellspacing=""1"" style=""width:100%"">
	<tbody>
		<tr>
			<td rowspan=""2"" style=""text-align:center"">平日</td>
			<td style=""text-align:center; width:115px"">普通票</td>
			<td style=""width:407px"">
			<p>$$\bullet $$适用所有人</p>
			<p>$$\bullet $$除指定日外任一平日参观</p></td>
			<td style=""text-align:center"">$$120$$</td>
		</tr>
		<tr>
			<td style=""text-align:center; width:115px"">优惠票</td>
			<td style=""width:407px"">
			<p>$$\bullet $$适用残疾人士、$$60$$周岁以上老年人、学生、中国现役军人（具体人群规则同指定日优惠票）</p>
			<p>$$\bullet $$购票及入园时需出示相关有效证件</p>
			<p>$$\bullet $$除指定日外任一平日参观</p></td>
			<td style=""text-align:center"">$$80$$</td>
		</tr>
	</tbody>
</table>
解析：
<p>设小安和皮鞥有几家购买了$$x$$张优惠票，根据题意列方程得：</p>
<p>$$80x+120(x-3)=1640$$，</p>
<p>去括号得，$$80x+120x-360=1640$$，</p>
<p>整理移项得，$$200x=2000$$，</p>
<p>解得，$$x=10$$，</p>
<p>答：他们买了$$10$$张优惠票．</p>",普通题,一元一次方程的其他实际问题
23,15682,"<p>某商品先降价$$\frac{1}{5}$$ ，又涨价$$\frac{1}{5}$$，这件商品现在的价格是$$100$$元，这件商品的原价为&nbsp;<u>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;</u>&nbsp;．</p>
解析：
<p>$$100\div \left(1+\frac{1}{5} \right)\div \left(1-\frac{1}{5} \right)$$</p>
<p>$$=100\div \frac{6}{5}\div \frac{4}{5}$$</p>
<p>$$=100\times \frac{5}{6}\times \frac{5}{4}$$</p>
<p>$$=100\times \frac{25}{24}$$</p>
<p>$$=100\times \left(1+\frac{1}{24} \right)$$</p>
<p>$$=100\times 1+100\times \frac{1}{24}$$</p>
<p>$$=104\frac{1}{6}$$（元）．</p>",普通题,有理数乘除法与实际问题
24,25213,"<p>在(※)中，未经约分且分母为$$2$$的数记为$$c$$，它后面的一个数记为$$d$$，是否存在这样的两个数$$c$$和$$d$$，使$$cd=2001000$$，如果存在，求出$$c$$和$$d$$；如果不存在，请说明理由．</p>
解析：
<p>存在满足条件的$$c$$和$$d$$，$$c=\frac{2000}{2}$$，$$d=\frac{2001}{1}$$．</p>
<p>提示：依题意，$$c$$为每组倒数第$$2$$个数，$$d$$为每组最后一个数，设它们在第$$n$$组，则$$c=\frac{n-1}{2}$$ ，$$d=\frac{n}{1}$$．</p>
<p>$$\therefore \frac{n\left( n-1 \right)}{2}=2001000$$，即$$n\left( n-1 \right)=4002000=2001\times 2000$$，</p>
<p>$$\therefore n=2001$$，得$$c=\frac{2001-1}{2}=\frac{2000}{2}$$，$$d=\frac{2001}{1}$$．</p>",普通题,定义新运算
25,36390,"<p>计算：$$\sqrt{32}-\sqrt{3}(\sqrt{6}-\sqrt{3})=$$&nbsp;<u>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;</u>&nbsp;．</p>
解析：
<p>原式$$=4\sqrt{2}-\sqrt{18}+3=4\sqrt{2}-3\sqrt{2}+3=\sqrt{2}+3$$．</p>",普通题,二次根式的四则混合运算
26,9548,"<p>$$\left( -3{{a}^{2}} \right)^3\cdot{{a}^{3}}+{{\left( -4a \right)}^{2}}\cdot{{a}^{7}}$$．</p>
解析：
<p>原式$$=(-27{{a}^{6}})\cdot{{a}^{3}}+(16{{a}^{2}})\cdot{{a}^{7}}=-27a^9+16{{a}^{9}}=-11{{a}^{9}}$$．</p>",普通题,幂的综合运算
27,54916,"<p>计算：$$-40-28+\left| -19 \right|+\left( -24 \right)-\left( -32 \right)$$．</p>
解析：
<p>原式$$=-40-28+19-24+32=-41$$．</p>",普通题,有理数加减混合运算
28,15934,"<p>如图$$1$$，点$$A$$为线段$$BC$$外一动点，且$$BC=a$$，$$AB=b$$，填空：当点$$A$$位于&nbsp;<u>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;</u>&nbsp;时，线段$$AC$$的长取得最大值，且最大值为&nbsp;<u>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;</u>&nbsp;(用含$$a$$,b的式子表示)．</p>
<p style=""text-align: right;""><img alt="""" height=""137"" src=""https://taltools.speiyou.com"" width=""556"" /></p>

解析：
<p>$$\because $$点$$A$$为线段$$BC$$外一动点，且$$BC=a$$，$$AB=b$$，</p>
<p>$$\therefore $$当点$$A$$位于$$CB$$的延长线上时，线段$$AC$$的长取得最大值，且最大值为$$BC+AB=a+b$$，</p>
<p>故答案为：$$CB$$的延长线上，$$a+b$$；</p>",普通题,线段和差-不需要分类讨论
29,54512,"<p>$$\begin{cases}\dfrac{x-3}{2}+3&gt;x+1 \\ 1-3(x-1)\leqslant 8-x \\\end{cases}$$．</p>
解析：
<p>$$\begin{cases}\dfrac{x-3}{2}+3&gt;x+1 ①\\ 1-3(x-1)\leqslant 8-x ②\\\end{cases}$$，</p>
<p>由①得：$$x &nbsp;&lt; &nbsp;1$$，</p>
<p>由②得：$$x\geqslant -2$$，</p>
<p>&there4;不等式组的解集是$$-2\leqslant x &nbsp;&lt; &nbsp;1$$．</p>",普通题,解一元一次不等式组
30,52965,"<p>$$\frac{5x+1}{3}-1=\frac{2x-1}{6}$$．</p>
解析：
<p>$$2\left( 5x+1 \right)-6=2x-1$$，</p>
<p>$$10x+2-6=2x-1$$，</p>
<p>$$8x=3$$，</p>
<p>$$x=\frac{3}{8}$$．</p>",普通题,常规一元一次方程解法
31,1229,"<p>数轴上表示$$x$$和$$-1$$的两点$$A$$，$$B$$之间的距离是&nbsp;<u>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;</u>&nbsp;，如果$$AB=2$$，那么$$x$$为&nbsp;<u>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;</u>&nbsp;．</p>
解析：
<p>由题意得：$$x$$和$$-1$$之间的距离是：$$\left| x-\left( -1 \right) \right|=\left| x+1 \right|$$，</p>
<p>∵$$\left| x+1 \right|=2$$，</p>
<p>&there4;解得：$$x=-3$$或$$x=1$$．</p>",普通题,数轴上两点间距离
32,17006,"<p>求证：$$AB=BC=CD=AD$$．</p>
解析：
<p>∵$$AO=CO$$，$$AC\bot BD$$，</p>
<p>&there4;$$AD=CD$$，$$AB=BC$$，</p>
<p>同理可得$$AD=AB$$，$$CD=BC$$，</p>
<p>&there4;$$AB=BC=CD=AD$$．</p>
",普通题,菱形的性质
33,34354,"<p>第二个月的销售单价定为多少元时，可获得最大利润．最大利润是多少．</p>
解析：
<p>设第二个月的利润为$$w$$元，</p>
<p>由已知得$$w=\left( x-20 \right)y$$</p>
<p>$$=\left( x-20 \right)\left( -20x+1000 \right)$$</p>
<p>$$=-20{{x}^{2}}+1400x-20000$$</p>
<p>$$=-20{{\left( x-35 \right)}^{2}}+4500$$．</p>
<p>∵$$-20 &nbsp;&lt; &nbsp;0$$，</p>
<p>&there4;当$$x=35$$时，$$w$$取最大值，最大值为$$4500$$．</p>
<p>故第二个月的销售单价定为$$35$$元时，可获得最大利润，最大利润是$$4500$$．</p>",普通题,二次函数的利润问题
34,31132,"<p>若点$$P\left( m,n \right)$$是$$\triangle ABC$$内部一点，则平移后$$\triangle {{A}^{\prime}}{{B}^{\prime}}{{C}^{\prime}}$$内的对应点$${{P}^{\prime}}$$的坐标为&nbsp;<u>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;</u>&nbsp;．</p>
解析：
<p>解：$$A\left( 1,0 \right)$$平移到点$${{A}^{\prime}}$$的坐标是$$\left( -3,-4 \right)$$， </p>
<p>横坐标减$$4$$，纵坐标减$$4$$， </p>
<p>$$\therefore $$点$$P$$的对应点$${{P}^{\prime}}$$的坐标是$$\left( m-4,n-4 \right)$$． </p>
<p>故答案为$$\left( m-4,n-4 \right)$$．</p>",普通题,坐标系中的平移-点的平移
35,52411,"<p>甲、乙两人在直线跑道上同起点、同终点、同方向匀速跑步$$500$$米，先到终点的人原地休息．已知甲先出发$$2$$秒．在跑步过程中，甲、乙两人的距离$$y$$（米）与乙出发的时间$$t$$（秒）之间的关系如图所示，求$$a=$$&nbsp;<u>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;</u>&nbsp;，$$b=$$&nbsp;<u>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;</u>&nbsp;，$$c=$$&nbsp;<u>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;</u>&nbsp;．</p>
<p style=""text-align: right;""><img alt="""" height=""226"" src=""https://taltools.speiyou.com"" width=""283"" /></p>
解析：
<p>由图象，得</p>
<p>甲的速度为：$$8\div 2=4$$米/秒，</p>
<p>乙的速度为：$$500\div 100=5$$米/秒，</p>
<p>乙走完全程时甲乙相距的路程为：$$b=500-4(100+2)=92$$米，</p>
<p>乙追上甲的时间为：$$a=8\div \left( 5-4 \right)=8$$秒，</p>
<p>乙出发后甲走完全程所用的时间为：$$c=500\div 4-2=123$$秒．</p>
<p>故答案为：$$8$$，$$92$$，$$123$$．</p>",普通题,函数图象与实际问题
36,3191,"<p>在平面直角坐标系中，点$$(1,-3)$$关于$$x$$轴对称的点的坐标为（ &nbsp; ）．</p>
解析：
<p>∵点$$(1,-3)$$关于$$x$$轴的对称点，</p>
<p>&there4;横坐标不变，纵坐标变为相反数，</p>
<p>&there4;坐标为$$(1,3)$$．</p>
<p>故选$$\text{B}$$．</p>",普通题,坐标系中的对称-点关于坐标轴对称
37,36094,"<p>我国古代数学著作《九章算术》中记载：&ldquo;今有大器五小器一容九斛．大器一小器五容三解．问大小器各容几何．&rdquo;其大意为：有大小两种盛酒的桶，已知$$5$$个大桶加上$$1$$个小桶可以盛酒$$9$$斛（斛，音 hu，是古代的一种容量单位）．$$1$$个大桶加上$$5$$个小桶可以盛酒$$3$$斛，问$$1$$个大桶和$$1$$个小桶分别可以盛&nbsp;<u>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;</u>&nbsp;斛酒．</p>
解析：
<p>设$$1$$个大桶和$$1$$个小桶分别可以盛$$x$$，$$y$$斛酒，</p>
<p>由题意得$$\begin{cases}5x+y=9 \\ x+5y=3 \\ \end{cases}$$，</p>
<p>解得$$\begin{cases}x=\dfrac{7}{4} \\ y=\dfrac{1}{4} \\ \end{cases}$$．</p>",普通题,二元一次方程组的和差倍分
